,0
314,4564866526
315,4564807270
316,4564717879
317,4564587872
318,4564583863
319,4564489748
320,4564483447
321,4564399904
322,4564396787
323,4564414082
324,4564371873
325,4564269695
326,4560838581
327,4560820056
328,4560565626
329,4560375348
330,4560313222
331,4559954704
332,4559688696
333,4559609204
334,4559473366
335,4559376786
336,4559259852
337,4559304451
338,4559270750
339,4558944189
340,4558809931
341,4558100301
342,4557735380
343,4557649670
344,4557622318
345,4557517790
346,4557299222
347,4557341849
348,4557207887
349,4557213416
350,4557079720
351,4557063533
352,4557028460
353,4556077654
354,4556064843
355,4556062229
356,4556016353
357,4555963404
358,4555815271
359,4555696281
360,4555713412
361,4555505127
362,4555480347
363,4555243593
364,4555095612
365,4555024632
366,4555010528
367,4554915584
368,4554789106
369,4554783753
370,4554011237
371,4553939475
372,4553917877
373,4553924800
374,4553941367
375,4553794821
376,4553790420
377,4553397386
378,4550687704
379,4550506213
380,4550449644
381,4550394619
382,4550289949
383,4550328190
384,4550304093
385,4550247491
386,4550250644
387,4550066368
388,4549350038
389,4549225156
390,4549230458
391,4549085929
392,4549054776
393,4548052555
394,4547864156
395,4547853483
396,4547145784
397,4547121456
398,4546979221
399,4547021472
400,4552234101
401,4552161751
402,4544246047
403,4544251808
404,4544115644
405,4544130935
406,4543927168
407,4543951374
408,4543586190
409,4543571936
410,4543557304
411,4543482371
412,4543271585
413,4543210609
414,4543087182
415,4543122806
416,4542988689
417,4542190828
418,4542068282
419,4542105079
420,4542111998
421,4541968964
422,4542046952
423,4542043719
424,4541980064
425,4541875735
426,4541880840
427,4541855219
428,4541783402
429,4541756474
430,4541710838
431,4541656671
432,4541367242
433,4541453901
434,4541441055
435,4541276802
436,4541204312
437,4541201835
438,4540937719
439,4540862575
440,4540769303
441,4540764115
442,4539634261
443,4539601326
444,4539436612
445,4539451376
446,4538633886
447,4538572250
448,4538428828
449,4538345215
450,4536052674
451,4536002757
452,4536031635
453,4535961770
454,4535879818
455,4535740656
456,4535617247
457,4535564438
458,4535546523
459,4535378925
460,4535358065
461,4535166613
462,4533749497
463,4533725241
464,4533658530
465,4533640125
466,4533367212
467,4531454556
468,4531443818
469,4531442892
470,4531461060
471,4531420505
472,4531328384
473,4531287361
474,4531304607
475,4531272521
476,4531239207
477,4531196660
478,4531174679
479,4531109644
480,4531153910
481,4531090368
482,4531003272
483,4530947001
484,4530684807
485,4530226989
486,4530221326
487,4530063721
488,4529644914
489,4528828165
490,4528823824
491,4528689715
492,4528722307
493,4528634749
494,4528439763
495,4528128598
496,4527985830
497,4527853702
498,4527717119
499,4527587410
500,4557940593
501,4557824141
502,4557697092
503,4557701512
504,4557532808
505,4554194125
506,4554302576
507,4554371242
508,4554220501
509,4554270162
510,4553902453
511,4553836386
512,4551721289
513,4548707601
514,4548638768
515,4547715850
516,4547657164
517,4547563622
518,4547498407
519,4540922265
520,4540787489
521,4540820568
522,4540675732
523,4540619672
524,4540594878
525,4540641554
526,4536219203
527,4536262996
528,4536161454
529,4536117184
530,4536124392
531,4536102282
532,4536100097
533,4534290689
534,4534246864
535,4525749310
536,4525639908
537,4525575173
538,4525556270
539,4525460703
540,4525223902
541,4525025022
542,4524972178
543,4524897358
544,4524931119
545,4524795677
546,4512123173
547,4512055307
548,4512010164
549,4509544667
550,4509503129
551,4509399779
552,4509426774
553,4509403618
554,4508272822
555,4508128052
556,4508104056
557,4508081513
558,4507985508
559,4507929997
560,4504768178
561,4504725633
562,4504627458
563,4504395242
564,4504358238
565,4504265535
566,4504189353
567,4504213844
568,4503977122
569,4503891931
570,4503695773
571,4503568781
572,4503611394
573,4503496945
574,4501880090
575,4501765945
576,4501698269
577,4501606964
578,4501539778
579,4501485054
580,4501397986
581,4498027397
582,4497980431
583,4497842697
584,4497697757
585,4497648172
586,4497573067
587,4497528456
588,4497464865
589,4497480011
590,4497405952
591,4497382390
592,4497328803
593,4497296979
594,4496931479
595,4487767869
596,4487723014
597,4487633212
598,4487518708
599,4487503861
600,4566108643
601,4566029570
602,4565981395
603,4565866284
604,4563047184
605,4562909034
606,4562664396
607,4562375050
608,4552251336
609,4549061838
610,4543336961
611,4543293841
612,4532668618
613,4530093311
614,4529583256
615,4529468887
616,4529462644
617,4528258077
618,4527668994
619,4527652786
620,4524915150
621,4524943233
622,4524837185
623,4524784376
624,4524761527
625,4524697724
626,4524734623
627,4524742886
628,4523558648
629,4523554247
630,4523398951
631,4520201938
632,4520140238
633,4519839735
634,4519792228
635,4518164076
636,4518138466
637,4518037056
638,4518020371
